"","mark"
"1",9.1
"2",6.7
"3",7.32
"4",7.54
"5",4.79
"6",10.28
"7",17.29
"8",13.39
"9",18.22
"10",11.09
"11",15.05
"12",10.6
"13",14.77
"14",15.48
"15",15.48
"16",28.91
"17",29.51
"18",20.49
"19",28.98
"20",25.17
"21",20.6
"22",25.7
"23",26.73
"24",21.55
"25",27
"26",27.01
"27",25.6
"28",28.39
"29",28.86
"30",23.98
"31",34.19
"32",31.39
"33",32.86
"34",30.98
"35",31.45
"36",31.91
"37",30.04
"38",35.55
"39",39.77
"40",33.71
"41",36.83
"42",35.42
"43",30.6
"44",33.89
"45",37.31
"46",32.98
"47",37.1
"48",31.83
"49",30.89
"50",34.91
"51",49.05
"52",48.4
"53",47.29
"54",42.38
"55",45.74
"56",40.94
"57",47.71
"58",49.49
"59",42.31
"60",46.25
"61",42.91
"62",47.03
"63",43.82
"64",40.6
"65",45.85
"66",49.52
"67",41.68
"68",40.65
"69",42.35
"70",48.1
"71",46.25
"72",49.28
"73",40.59
"74",40.9
"75",40.49
"76",58.27
"77",51.4
"78",56.02
"79",59.48
"80",54.14
"81",53.82
"82",59.73
"83",53.82
"84",56.97
"85",56.53
"86",52.58
"87",57.11
"88",53.82
"89",59.46
"90",51.83
"91",53.4
"92",57.45
"93",53.12
"94",57.74
"95",50.67
"96",56.79
"97",50.91
"98",57.21
"99",51.52
"100",52.61
"101",51.68
"102",57.49
"103",51.91
"104",59.86
"105",58.06
"106",62.97
"107",69.8
"108",62.24
"109",65.36
"110",63.27
"111",62.5
"112",63.98
"113",68.54
"114",63.21
"115",67.77
"116",63.33
"117",62.53
"118",66.49
"119",62.38
"120",66.51
"121",65.31
"122",69.63
"123",65.28
"124",60.62
"125",62.11
"126",62.03
"127",67.26
"128",60.9
"129",64.5
"130",68.76
"131",67.68
"132",65.16
"133",65.11
"134",62.56
"135",60.23
"136",63.65
"137",69.15
"138",61.15
"139",64.98
"140",63.45
"141",78.38
"142",71.06
"143",78.15
"144",75.35
"145",79.72
"146",79.43
"147",76.66
"148",71.78
"149",74.15
"150",77.09
"151",76.14
"152",79.1
"153",74.51
"154",74.97
"155",78.92
"156",79.79
"157",74.91
"158",73.38
"159",78.42
"160",72.32
"161",73.35
"162",77.8
"163",77.36
"164",73.96
"165",71.35
"166",70.05
"167",71.56
"168",74.81
"169",74.18
"170",73.09
"171",74.46
"172",73.33
"173",79.58
"174",73.89
"175",79.49
"176",70.26
"177",73.97
"178",72.88
"179",74.19
"180",76.18
"181",88.59
"182",85.12
"183",87.8
"184",88.36
"185",80.95
"186",84.52
"187",84.94
"188",83.49
"189",81.18
"190",80.8
"191",81.91
"192",84.78
"193",84.72
"194",84.8
"195",80.64
"196",83.59
"197",84.66
"198",83.03
"199",85.99
"200",80.4
"201",80.6
"202",83.05
"203",85.36
"204",81.59
"205",84.13
"206",86.64
"207",80.44
"208",86.07
"209",80.62
"210",86.11
"211",94.4
"212",98.53
"213",91.96
"214",93.94
"215",92.23
"216",93.2
"217",93.75
"218",93.09
"219",91.69
"220",92.18
"221",93.51
"222",96
"223",98.26
"224",94.09
"225",92.48
"226",94.21
"227",92.84
"228",94.42
"229",92.93
"230",91.12
